Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
224,Avery Bradley\bradlav01,SG,31,LAL,33,28,784,87,202,.431,46,116,.397,41,86,.477,.545,7,7,1.000,17,67,84,26,31,8,16,61,227
225,Bones Hyland\hylanbo01,PG,21,DEN,28,0,473,78,217,.359,42,133,.316,36,84,.429,.456,28,32,.875,6,54,60,44,15,7,26,55,226
226,Josh Jackson\jacksjo02,SF,24,DET,30,3,551,86,206,.417,26,92,.283,60,114,.526,.481,28,41,.683,15,84,99,44,15,11,30,52,226
227,Svi Mykhailiuk\mykhasv01,SF,24,TOR,35,5,621,82,197,.416,35,108,.324,47,89,.528,.505,27,32,.844,18,65,83,40,23,4,26,46,226
228,Andre Drummond\drumman01,C,28,PHI,34,11,652,93,176,.528,0,1,.000,93,175,.531,.528,37,66,.561,104,208,312,68,38,35,56,82,223
229,Precious Achiuwa\achiupr01,C,22,TOR,28,17,686,92,227,.405,9,33,.273,83,194,.428,.425,29,51,.569,64,148,212,40,16,17,31,61,222
230,Isaiah Hartenstein\harteis01,C,23,LAC,29,0,477,94,142,.662,2,3,.667,92,139,.662,.669,32,49,.653,53,83,136,54,24,37,29,74,222
231,Alex Caruso\carusal01,SG,27,CHI,26,9,729,73,163,.448,28,77,.364,45,86,.523,.534,44,53,.830,25,72,97,103,53,9,39,66,218
232,Cory Joseph\josepco01,PG,30,DET,29,6,644,74,162,.457,25,60,.417,49,102,.480,.534,44,52,.846,8,53,61,106,23,5,42,50,217
233,Chuma Okeke\okekech01,PF,23,ORL,30,6,690,81,229,.354,29,124,.234,52,105,.495,.417,26,30,.867,20,110,130,43,38,12,28,42,217
234,Coby White\whiteco01,PG,21,CHI,19,6,472,78,173,.451,35,92,.380,43,81,.531,.552,26,34,.765,3,47,50,45,8,5,21,40,217
235,Reggie Bullock\bullore01,SF,30,DAL,33,13,801,77,203,.379,48,151,.318,29,52,.558,.498,13,17,.765,7,88,95,37,14,5,18,45,215
236,Terence Davis\daviste02,SG,24,SAC,24,7,399,79,197,.401,32,109,.294,47,88,.534,.482,23,28,.821,8,64,72,26,17,9,28,54,213
